player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Nemanja Nedovic,Gol,SG,22,24,5.7,11.6,17.8,0.234,8,0.875,21,0.238,18,0.167,0.306,1.1,0.6,6,0.5,12.5,0,0.04,4.8
Jameer Nelson,Orl,PG,31,68,31.9,65.4,20.2,0.173,112,0.857,356,0.444,391,0.348,0.515,12.1,3.4,6,7,35.3,0.76,0.07,8.3
Andrew Nicholson,Orl,PF,24,76,15.2,31.3,19.5,0.103,57,0.825,331,0.459,89,0.315,0.489,5.7,3.4,12.5,0.3,3.6,0.24,0.3,4.7
Joakim Noah,Chi,C,28,80,35,72.1,18.8,0.17,335,0.737,798,0.476,2,0,0.531,12.6,11.3,18.3,5.4,26.6,1.24,1.54,10.5
Steve Novak,Tor,PF,30,54,9.8,20,13.2,0.033,6,1,24,0.333,122,0.426,0.599,3.3,1.1,6.4,0.2,3.9,0.22,0.07,3.7
Dirk Nowitzki,Dal,PF,35,80,32.7,67.5,27,0.076,376,0.899,943,0.531,329,0.398,0.603,21.7,6.2,11,2.7,14.3,0.91,0.56,8.7
James Nunnally,Atl,SF,23,4,13.5,24.4,20,0.168,4,0.75,8,0.375,10,0.3,0.455,4.5,2,8.6,0.5,5.6,0.25,0.25,4.9
James Nunnally,Phi,SF,23,9,12.1,23.4,12.9,0.09,5,0.6,13,0.308,15,0.333,0.43,2.9,1.2,5.4,0.7,7.9,0.56,0.11,4.4
Jermaine O'Neal,Gol,PF,35,44,19.9,40.8,18,0.145,132,0.75,248,0.504,0,0,0.57,7.9,5.5,15.1,0.6,4.3,0.32,0.93,6
Kyle O'Quinn,Orl,C,23,69,17,34.8,18.9,0.161,83,0.687,368,0.505,3,0,0.526,6.2,5.3,17.6,1.1,11.1,0.57,1.28,7.8
Greg Oden,Mia,C,26,23,9,18.2,16.4,0.169,23,0.565,49,0.551,0,0,0.567,2.9,2.3,16.3,0,0.7,0.3,0.57,0
Victor Oladipo,Orl,PG,21,80,30.9,63.5,24.6,0.192,318,0.78,710,0.448,226,0.327,0.514,13.8,4.1,7.5,4.1,22.1,1.61,0.46,8
Kelly Olynyk,Bos,C,22,70,19.8,41.1,21.1,0.16,122,0.811,388,0.5,113,0.354,0.547,8.7,5.2,14.9,1.6,13.3,0.5,0.39,8.4
Arinze Onuaku,Nor,PF,26,3,8.3,13.9,10.7,0.17,2,0.5,4,0.25,0,0,0.307,1,2.3,16.4,1,16.3,0,0,6.4
Daniel Orton,Phi,C,23,22,11.2,22.6,13.5,0.23,30,0.767,47,0.447,0,0,0.54,3,2.8,13.4,0.7,8.7,0.27,0.73,6.4
