"Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
913.15,-9.9746,-17.276,-0.12941,0.02483,0.087596,0.00087638,0.001008,0.91052,2056,2056,-3.2996,1.905,0
737.39,-9.1728,-10.369,-12.691,0.022752,0.10328,0.0020305,0.0009264,0.89376,3200,3200,-3.6356,2.099,0
913.15,-9.9746,-17.276,6.0993e-24,0.019497,0.086232,0.00063146,0.0010739,0.91206,6926,6926,-3.2996,1.905,-0.28798
763.09,-8.4021,-12.365,-12.355,0.019929,0.09917,0.0017249,0.00096197,0.89814,7027,7027,-3.6356,2.099,-0.28798
913.15,-6.823,-18.746,-0.1294,0.02483,0.087598,0.00087631,0.0010081,0.91052,2057,2057,-3.5802,1.3031,0
737.4,-7.2308,-11.806,-12.689,0.022753,0.10328,0.0020305,0.00092642,0.89376,3201,3201,-3.9448,1.4358,0
913.15,-6.823,-18.746,6.0993e-24,0.019497,0.086233,0.00063147,0.0010739,0.91206,6928,6928,-3.5802,1.3031,-0.28798
763.09,-6.127,-13.636,-12.354,0.019929,0.099171,0.0017249,0.00096199,0.89814,7028,7028,-3.9448,1.4358,-0.28798
913.15,-3.4641,-19.646,-0.12939,0.02483,0.087599,0.00087626,0.0010081,0.91052,2058,2058,-3.7521,0.6616,0
737.4,-5.0699,-12.882,-12.689,0.022753,0.10328,0.0020305,0.00092644,0.89376,3202,3202,-4.1342,0.72898,0
913.15,-3.4641,-19.646,6.0993e-24,0.019498,0.086234,0.00063146,0.0010739,0.91206,6930,6930,-3.7521,0.6616,-0.28798
763.09,-3.6658,-14.493,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,7029,7029,-4.1342,0.72898,-0.28798
913.15,1.5061e-13,-19.949,-0.12939,0.024831,0.087599,0.00087626,0.0010081,0.91052,2059,2059,-3.81,-2.8764e-14,0
737.41,-2.756,-13.566,-12.689,0.022753,0.10328,0.0020305,0.00092645,0.89376,3203,3203,-4.198,-1.478e-14,0
913.15,1.5114e-13,-19.949,6.0993e-24,0.019498,0.086235,0.00063146,0.0010739,0.91206,6932,6932,-3.81,-2.8866e-14,-0.28798
763.09,-1.0934,-14.909,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,7030,7030,-4.198,-1.435e-14,-0.28798
913.15,3.4641,-19.646,-0.12939,0.02483,0.087599,0.00087625,0.0010081,0.91052,2060,2060,-3.7521,-0.6616,0
737.4,-0.35852,-13.838,-12.689,0.022753,0.10328,0.0020305,0.00092645,0.89376,3204,3204,-4.1342,-0.72898,0
913.15,3.4641,-19.646,6.0993e-24,0.019498,0.086235,0.00063146,0.0010739,0.91206,6934,6934,-3.7521,-0.6616,-0.28798
763.09,1.512,-14.872,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,7031,7031,-4.1342,-0.72898,-0.28798
913.15,6.823,-18.746,-0.1294,0.024831,0.087599,0.00087631,0.0010081,0.91052,2061,2061,-3.5802,-1.3031,0
737.4,2.0485,-13.689,-12.69,0.022753,0.10328,0.0020305,0.00092643,0.89376,3205,3205,-3.9448,-1.4358,0
913.15,6.823,-18.746,6.0993e-24,0.019498,0.086234,0.00063147,0.0010739,0.91206,6936,6936,-3.5802,-1.3031,-0.28798
763.09,4.0712,-14.383,-12.355,0.019929,0.099172,0.001725,0.000962,0.89814,7032,7032,-3.9448,-1.4358,-0.28798
913.15,9.9746,-17.276,-0.12941,0.024831,0.087598,0.00087642,0.0010081,0.91052,2062,2062,-3.2996,-1.905,0
737.39,4.3924,-13.127,-12.691,0.022753,0.10328,0.0020306,0.00092641,0.89376,3206,3206,-3.6356,-2.099,0
913.15,9.9746,-17.276,6.0993e-24,0.019497,0.086234,0.00063149,0.0010739,0.91206,6938,6938,-3.2996,-1.905,-0.28798
763.09,6.5067,-13.458,-12.355,0.019929,0.099171,0.001725,0.00096199,0.89814,7033,7033,-3.6356,-2.099,-0.28798
913.15,12.823,-15.282,-0.12942,0.024831,0.087597,0.00087648,0.001008,0.91052,2063,2063,-2.9186,-2.449,0
737.39,6.605,-12.167,-12.692,0.022753,0.10328,0.0020307,0.0009264,0.89376,3207,3207,-3.2159,-2.6984,0
